Año,Alcaldía,Modalidad,Cve. Municipio,Mes,Numero_de_registros
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Enero,2
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Febrero,2
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Marzo,2
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Abril,9
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Mayo,6
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Junio,3
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Julio,5
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Agosto,5
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Septiembre,3
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Octubre,7
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Noviembre,7
2016,Azcapotzalco,Otros delitos que atentan contra la libertad personal,9002,Diciembre,4
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Enero,3
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Febrero,2
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Marzo,5
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Abril,6
2016,Benito Juárez,Secuestro extorsivo,9014,Mayo,3
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Mayo,6
2016,Benito Juárez,Rapto,9014,Junio,1
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Junio,5
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Julio,3
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Agosto,2
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Septiembre,7
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Octubre,1
2016,Benito Juárez,Otros delitos que atentan contra la libertad personal,9014,Diciembre,5
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Enero,2
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Febrero,3
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Marzo,2
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Abril,3
2016,Coyoacán,Secuestro extorsivo,9003,Mayo,1
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Mayo,3
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Junio,3
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Julio,3
2016,Coyoacán,Secuestro extorsivo,9003,Agosto,1
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Agosto,1
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Septiembre,2
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Octubre,3
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Noviembre,4
2016,Coyoacán,Otros delitos que atentan contra la libertad personal,9003,Diciembre,4
2016,Cuajimalpa de Morelos,Otros delitos que atentan contra la libertad personal,9004,Enero,2
2016,Cuajimalpa de Morelos,Otros delitos que atentan contra la libertad personal,9004,Abril,3
2016,Cuajimalpa de Morelos,Otros delitos que atentan contra la libertad personal,9004,Mayo,3
2016,Cuajimalpa de Morelos,Otros delitos que atentan contra la libertad personal,9004,Junio,1
2016,Cuajimalpa de Morelos,Otros delitos que atentan contra la libertad personal,9004,Julio,5
2016,Cuajimalpa de Morelos,Otros delitos que atentan contra la libertad personal,9004,Agosto,1
2016,Cuajimalpa de Morelos,Secuestro extorsivo,9004,Septiembre,1
2016,Cuajimalpa de Morelos,Otros delitos que atentan contra la libertad personal,9004,Septiembre,2
2016,Cuajimalpa de Morelos,Otros delitos que atentan contra la libertad personal,9004,Octubre,1
2016,Cuajimalpa de Morelos,Otros delitos que atentan contra la libertad personal,9004,Noviembre,1
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Enero,9
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Febrero,6
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Marzo,7
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Abril,6
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Mayo,11
2016,Cuauhtémoc,Secuestro extorsivo,9015,Junio,1
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Junio,8
2016,Cuauhtémoc,Secuestro extorsivo,9015,Julio,2
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Julio,3
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Agosto,8
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Septiembre,5
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Octubre,11
2016,Cuauhtémoc,Tráfico de menores,9015,Noviembre,1
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Noviembre,11
2016,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,9015,Diciembre,5
2016,Gustavo A. Madero,Otros delitos que atentan contra la libertad personal,9005,Enero,7
2016,Gustavo A. Madero,Otros delitos que atentan contra la libertad personal,9005,Febrero,10
2016,Gustavo A. Madero,Secuestro extorsivo,9005,Marzo,1
