anio_inicio,mes_inicio,fecha_inicio,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_catalogo,alcaldia_hecho,anio_hecho
2024,Agosto,2024-08-31 00:00:00,1975-01-30 00:00:00,06:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,UAT-AO-4,UI-1SD,San Angel,ALVARO OBREGON,1975
2023,Enero,2023-01-20 00:00:00,1995-10-01 00:00:00,16:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN Y PERSECUCIÓN DE LOS DELITOS EN MATERIA DE DESAPARICIÓN FORZADA DE PERSONAS Y LA DESAPARICIÓN COMETIDA POR PARTICULARES Y BÚSQUEDA DE PERSONAS DESAPARECIDAS,B,2 SIN DETENIDO,Bosque De Chapultepec I Seccion,MIGUEL HIDALGO,1995
2022,Abril,2022-04-11 00:00:00,1997-07-21 00:00:00,08:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,UAT-MH-1,UI-1SD,Santo Tomas,MIGUEL HIDALGO,1997
2017,Marzo,2017-03-10 00:00:00,2001-03-10 00:00:00,06:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,2 CON DETENIDO 2 C/D,Constitucion De La Republica,IZTAPALAPA,2001
2021,Marzo,2021-03-15 00:00:00,2001-03-15 00:00:00,21:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Las Cruces,IZTAPALAPA,2001
2017,Agosto,2017-08-09 00:00:00,2004-12-14 00:00:00,00:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,Guerrero,IZTAPALAPA,2004
2023,Marzo,2023-03-19 00:00:00,2005-04-02 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,Del Valle Sur,IZTAPALAPA,2005
2017,Agosto,2017-08-06 00:00:00,2005-12-28 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,,IZTAPALAPA,2005
2017,Marzo,2017-03-05 00:00:00,2007-03-03 00:00:00,16:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,"INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES",59,UI-3CD,Heroes De Churubusco,IZTAPALAPA,2007
2016,Junio,2016-06-21 00:00:00,2009-11-06 00:00:00,08:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Magdalena De Las Salinas,GUSTAVO A. MADERO,2009
2023,Enero,2023-01-07 00:00:00,2010-12-01 00:00:00,01:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Pueblo San Pedro Xalpa,IZTAPALAPA,2010
2019,Diciembre,2019-12-11 00:00:00,2010-12-10 00:00:00,18:15:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN MIGUEL HIDALGO,MH-4,UI-2SD,San Miguel Chapultepec I Seccion,MIGUEL HIDALGO,2010
2022,Abril,2022-04-21 00:00:00,2011-06-01 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,,IZTAPALAPA,2011
2022,Noviembre,2022-11-30 00:00:00,2011-11-23 00:00:00,12:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-5,UI-2SD,Tabacalera,CUAUHTEMOC,2011
2019,Febrero,2019-02-25 00:00:00,2011-12-29 00:00:00,12:00:00,DESAPARICION FORZADA DE PERSONAS,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE HOMICIDIO,HOM-2,1 CON DETENIDO 1 C/D,,AZCAPOTZALCO,2011
2024,Enero,2024-01-31 00:00:00,2012-04-09 00:00:00,22:00:00,DESAPARICION FORZADA DE PERSONAS,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN Y PERSECUCIÓN DE LOS DELITOS EN MATERIA DE DESAPARICIÓN FORZADA DE PERSONAS Y LA DESAPARICIÓN COMETIDA POR PARTICULARES Y BÚSQUEDA DE PERSONAS DESAPARECIDAS,B,5 SIN DETENIDO,Morelos,VENUSTIANO CARRANZA,2012
2016,Agosto,2016-08-31 00:00:00,2012-09-11 00:00:00,00:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-5,UI-2SD,,CUAUHTEMOC,2012
2016,Febrero,2016-02-16 00:00:00,2013-05-23 00:00:00,21:53:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,Peñon De Los Baños,VENUSTIANO CARRANZA,2013
2016,Marzo,2016-03-13 00:00:00,2013-07-02 00:00:00,07:55:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Algarin,CUAUHTEMOC,2013
2016,Enero,2016-01-17 00:00:00,2013-07-30 00:00:00,12:00:00,DESAPARICION FORZADA DE PERSONAS,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-8,UI-1SD,,CUAUHTEMOC,2013
2016,Agosto,2016-08-14 00:00:00,2013-08-13 00:00:00,02:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Barrio La Asuncion,IZTAPALAPA,2013
2017,Julio,2017-07-20 00:00:00,2013-08-30 00:00:00,08:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN VENUSTIANO CARRANZA,VC-3,UI-1SD,Pueblo San Miguel Topilejo,TLALPAN,2013
2018,Febrero,2018-02-23 00:00:00,2013-09-16 00:00:00,17:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-1CD,Zona Escolar Oriente,GUSTAVO A. MADERO,2013
2021,Mayo,2021-05-12 00:00:00,2013-09-19 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,2 CON DETENIDO 2 C/D,Centro,IZTAPALAPA,2013
2024,Agosto,2024-08-20 00:00:00,2013-12-19 00:00:00,21:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Juarez,IZTAPALAPA,2013
2016,Septiembre,2016-09-18 00:00:00,2014-06-30 00:00:00,12:00:00,DESAPARICION FORZADA DE PERSONAS,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-8,UI-3SD,Doctores,CUAUHTEMOC,2014
2016,Febrero,2016-02-08 00:00:00,2014-10-30 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN IZTAPALAPA,IZP-6,UI-2SD,Santa Martha Acatitla Norte,IZTAPALAPA,2014
2024,Noviembre,2024-11-30 21:48:23,2014-11-29 18:30:00,18:30:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Rancho Tejomulco,IZTAPALAPA,2014
