Año,Tipo_de_delito,Modalidad,Sexo,Rango_de_edad,Mes,Numero_registros
2016,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Enero,2
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Enero,2
2016,Rapto,Rapto,No identificado,No identificado,Enero,1
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Enero,49
2016,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Febrero,1
2016,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),Febrero,1
2016,Secuestro,Secuestro extorsivo,Hombre,No especificado,Febrero,1
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Febrero,47
2016,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Marzo,3
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Marzo,54
2016,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Abril,1
2016,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),Abril,1
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Abril,1
2016,Tráfico de menores,Tráfico de menores,No identificado,No identificado,Abril,1
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Abril,65
2016,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Mayo,5
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Mayo,6
2016,Tráfico de menores,Tráfico de menores,No identificado,No identificado,Mayo,1
2016,Rapto,Rapto,No identificado,No identificado,Mayo,1
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Mayo,67
2016,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Junio,2
2016,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),Junio,1
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Junio,1
2016,Rapto,Rapto,No identificado,No identificado,Junio,2
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Junio,58
2016,Secuestro,Secuestro extorsivo,Mujer,Menores de edad (0-17),Julio,1
2016,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Julio,2
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Julio,3
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Julio,60
2016,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),Agosto,1
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Agosto,4
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Agosto,54
2016,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Septiembre,1
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Septiembre,1
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Septiembre,65
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Octubre,1
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Octubre,56
2016,Secuestro,Secuestro extorsivo,Mujer,Menores de edad (0-17),Noviembre,2
2016,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),Noviembre,2
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Noviembre,3
2016,Tráfico de menores,Tráfico de menores,No identificado,No identificado,Noviembre,1
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Noviembre,66
2016,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Diciembre,1
2016,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Diciembre,4
2016,Tráfico de menores,Tráfico de menores,No identificado,No identificado,Diciembre,2
2016,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Diciembre,58
2017,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Enero,1
2017,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Enero,1
2017,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Enero,70
2017,Secuestro,Secuestro extorsivo,Mujer,Menores de edad (0-17),Febrero,1
2017,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Febrero,2
2017,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Febrero,2
2017,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Febrero,68
2017,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Marzo,1
